event_name,date_location,attendees,goals,source_url,primary_industry,secondary_industry,event_type,featured,company_stages
A Roadmap for Economic Progress: Accelerating Transportation Infrastructure,Manila - 13 Aug 2025,Policy makers,Infrastructure executives,Infrastructure development,Economic growth,https://amchamphilippines.glueup.com/event/147880,Government & Public Sector,Technology,Meeting
AmCham 8th Annual Energy Forum,Manila - 14 Aug 2025,Energy executives,Policy makers,Energy sector trends,Sustainability,https://amchamphilippines.glueup.com/event/135952,Government & Public Sector,Technology,Forum
Scaling Project & Change Management for Organizational Success,Manila - 19 Aug 2025,Project managers,Change managers,Project governance,Change management,https://amchamphilippines.glueup.com/event/140565,Technology,,Workshop
[North Luzon] Member Appreciation Cocktails,Clark - 20 Aug 2025,Members,Business executives,Networking,Member engagement,https://amchamphilippines.glueup.com/event/146401,Technology,,Networking
C-Suite Circle: Exclusive Gathering of Visionary Leaders (Batch 2),Manila - 26 Aug 2025,CEOs,Founders,Networking,Strategic insights,https://amchamphilippines.glueup.com/event/147382,Technology,Retail & E-commerce,Meeting
The Connected Workplace: An Executive Roundtable on Building Resilient,Productive,and Digitally Enabled Organizations,Manila - 28 Aug 2025,Executives,IT directors,Digital transformation,Workplace resilience,https://amchamphilippines.glueup.com/event/144974,Technology
From Myths to Metrics: Marketing Basics,Manila - 3 Sep 2025,Marketing professionals,Business leaders,Digital marketing,AI tool adoption,https://amchamphilippines.glueup.com/event/146407,Technology,Retail & E-commerce,Workshop
Evidence-Based Wellbeing: Insights,Tools,and Strategies for Thriving Teams,Manila - 17 Sep 2025,HR managers,Team leaders,Employee wellbeing,Team productivity,https://amchamphilippines.glueup.com/event/145212,Technology
Marketing Efficiency Through Smart Tools,Manila - 23 Sep 2025,Marketing professionals,Digital strategists,Marketing efficiency,Tool adoption,https://amchamphilippines.glueup.com/event/146408,Technology,Retail & E-commerce,Workshop
C-Suite Circle: Exclusive Gathering of Visionary Leaders (Batch 3),Manila - 30 Sep 2025,CEOs,Founders,Networking,Strategic insights,https://amchamphilippines.glueup.com/event/147384,Technology,Energy,Meeting
C-Suite Circle: Exclusive Gathering of Visionary Leaders (Batch 4),Manila - 28 Oct 2025,CEOs,Founders,Networking,Strategic insights,https://amchamphilippines.glueup.com/event/147389,Technology,,Meeting
[POSTPONED] National Doorknock: Department of Labor and Employment,Manila - 11 Jul 2025,HR executives,Policy makers,Labor policy engagement,Compliance,https://amchamphilippines.glueup.com/event/140271,Government & Public Sector,,Meeting
CrossBorder Data Flows: Strengthening AI & Cybersecurity in the Philippines,Manila - 10 Jul 2025,Government officials,IT executives,AI innovation,Cybersecurity,https://amchamphilippines.glueup.com/event/146787,Technology,Government & Public Sector,Meeting
Luzon Economic Corridor (LEC) Hybrid Tabletop Exercise (HTTX),Manila - 9 Jul 2025,Business leaders,Policy makers,Economic development,Infrastructure planning,https://amchamphilippines.glueup.com/event/147515,Government & Public Sector,,Workshop
GENERAL MEMBERSHIP MEETING,Makati - 31 Jul 2025,Business executives,IP professionals,IP commercialization,Protection,https://www.cmaphil.com/,Technology,,Meeting
GENERAL MEMBERSHIP MEETING,Online - 28 Aug 2025,Members,Business executives,Networking,Knowledge sharing,https://www.cmaphil.com/,Technology,,Meeting
GENERAL MEMBERSHIP MEETING,Makati - 25 Sep 2025,Business executives,Members,Networking,Knowledge sharing,https://www.cmaphil.com/,Technology,,Meeting
GENERAL MEMBERSHIP MEETING,Makati - 30 Oct 2025,Business executives,Members,Networking,Knowledge sharing,https://www.cmaphil.com/,Technology,,Meeting
ASIA OCEANIA TAX CONSULTANT’S ASSOCIATION (AOTCA),Katmandu,Nepal - 18–21 Nov 2025,Tax consultants,Financial executives,Tax policy,Networking,https://www.cmaphil.com/,Banking & Financial Services,Exploring Solutions
GENERAL MEMBERSHIP MEETING,Online - 27 Nov 2025,Members,Business executives,Networking,Knowledge sharing,https://www.cmaphil.com/,Technology,,Meeting
TOUR DE TECH: The IT & Software Roadshow,San Fernando Pampanga; Davao City; Cebu City - 2025 (TBA),IT professionals,Software developers,Talent acquisition,Industry collaboration,https://www.psia.org.ph/copy-of-enablement-seminars,Technology,,Roadshow
51st Enablement Seminar,Manila - 14 Sep 2023,Software testers,QA engineers,Software testing skills,Quality assurance,https://www.psia.org.ph/enablement-seminars,Technology,,Seminar
50th Enablement Seminar,Online - 5 Jul 2023,Software developers,Project managers,Agile planning,Software development,https://www.psia.org.ph/enablement-seminars,Technology,,Seminar
SODEC Philippines 2024,Manila - 8–9 Aug 2024,Software developers,IT executives,Digital transformation,Business matching,https://www.psia.org.ph/sodec,Technology,,Conference
SOFTCON Philippines 2025,Manila - 28–30 Oct 2025,Software developers,IT professionals,Business executives,AI,Automation,Cloud computing,https://softconph.com/,Technology
2023 3rd Quarter General Membership Meeting,Manila - 1 Sep 2023,Academics,Industry leaders,AI,Academe-industry collaboration,https://www.psia.org.ph/psia-general-membership-meetings,Technology,Education,Meeting
2023 2nd Quarter General Membership Meeting,Online - 2023 (Q2),Software developers,IT managers,AI,Software development trends,https://www.psia.org.ph/psia-general-membership-meetings,Technology,,Meeting
BP 22 FOR NON LAWYERS,Online - 28 Nov 2025,Business managers,Compliance officers,Legal compliance,Financial management,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,Banking & Financial Services,,Workshop
BP 22 FOR NON LAWYERS,Makati - 24 Jul 2025,Business managers,Compliance officers,Legal compliance,Financial management,https://www.cmaphil.com/events/bp-22-for-non-lawyers,Banking & Financial Services,,Workshop
POLICY DEVELOPMENT,Makati - 7 Aug 2025,Policy makers,HR managers,Policy creation,Compliance,https://www.cmaphil.com/events/policy-development,Government & Public Sector,,Workshop
COLLECT SMARTER - NEGOTIATION STRATEGIES FOR DEBT RECOVERY,Makati - 14 Aug 2025,Financial managers,Debt collectors,Debt recovery,Negotiation skills,https://www.cmaphil.com/events/collect-smarter-negotiation-strategies-for-debt-recovery,Banking & Financial Services,,Workshop
Financial Statement Analysis and Interpretation,Makati - 11 Sep 2025,Financial analysts,Business managers,Financial analysis,Decision making,https://www.cmaphil.com/events/financial-statement-analysis-and-interpretation,Banking & Financial Services,,Workshop
CREDIT MANAGEMENT,Online - 25 Sep 2025,Financial managers,Credit analysts,Credit management,Risk assessment,https://www.cmaphil.com/events/credit-management,Banking & Financial Services,,Workshop
Know your Money & Counterfeit Detection,Online - 26 Sep 2025,Financial officers,Compliance managers,Counterfeit detection,Financial security,https://www.cmaphil.com/events/know-your-money-counterfeit-detection,Banking & Financial Services,,Workshop
Financial Management,Makati - 9 Oct 2025,Financial executives,Business managers,Financial planning,Management,https://www.cmaphil.com/events/financial-management,Banking & Financial Services,,Workshop
Root Cause Analysis,Makati - 13 Nov 2025,Operations managers,Quality analysts,Problem solving,Process improvement,https://www.cmaphil.com/events/root-cause-analysis,Technology,,Workshop
Money Laundering and Terrorist Financing Prevention Program,Online - 28 Nov 2025,Compliance officers,Financial managers,Anti-money laundering,Compliance,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,Banking & Financial Services,,Workshop
Shared Leadership Team Coach Certification Program (TCCP),TBA - 15 Jul 2025,HR professionals,Coaches,Leadership coaching,Team development,https://pmap.org.ph/training-events/sltccp-tccp-july/,Technology,,Workshop
Fundamentals of Labor and Employment Laws,Online - 15 Jul 2025,HR managers,Legal advisors,Labor law compliance,Employee relations,https://pmap.org.ph/training-events/flel-july/,Government & Public Sector,,Workshop
THE 2025 PMAP CAREER FAIR IS CALLING! FUTURE BOUND 2025: EXPLORE,CONNECT,THRIVE,Manila - 22 Jul 2025,Job seekers,HR professionals,Career opportunities,Networking,https://pmap.org.ph/training-events/2025-cf/,Technology
OD Theories,Tools and Practices,Online - 22 Jul 2025,HR professionals,OD specialists,Organization development,Strategy implementation,https://pmap.org.ph/training-events/odttp-july/,Technology,Exploring Solutions
HR Analytics and Data-Driven Decision Making,Mandaluyong - 23 Jul 2025,HR managers,Data analysts,Data-driven HR,Decision making,https://pmap.org.ph/training-events/hrddm/,Technology,,Workshop
Developing a Performance-Based Compensation System,Online - 24 Jul 2025,HR managers,Compensation specialists,Compensation strategy,Performance management,https://pmap.org.ph/training-events/dpbcs-july/,Technology,,Workshop
Essentials of Business Communication,Online - 25 Jul 2025,Business professionals,Managers,Communication skills,Business efficiency,https://pmap.org.ph/training-events/ebc/,Technology,,Workshop
Training the Trainers,Mandaluyong - 28 Jul 2025,Trainers,HR professionals,Training delivery,Skill development,https://pmap.org.ph/training-events/training-the-trainers/,Technology,,Workshop
Drivers of Employee Engagement,Online - 29 Jul 2025,HR managers,Team leaders,Employee engagement,Retention,https://pmap.org.ph/training-events/dee-july/,Technology,,Workshop
Effective Risk Management Workshop,Mandaluyong - 30 Jul 2025,Risk managers,Business executives,Risk mitigation,Strategic planning,https://pmap.org.ph/training-events/ermw-july/,Technology,,Workshop
707th General Membership Meeting,Pasay - 30 Jul 2025,Members,Business executives,Networking,Knowledge sharing,https://pmap.org.ph/training-events/707th-pmap-gmm/,Technology,,Meeting
July IR Kapihan: Discipline with Purpose: Enhancing Employee Performance Through Structured Action,Online - 31 Jul 2025,HR managers,Supervisors,Employee discipline,Performance improvement,https://pmap.org.ph/training-events/july-ir-kapihan-dpeeptsa/,Technology,,Workshop
Certificate in Human Resource Planning and Acquisition – FEU,Hybrid - 2 Aug–20 Sep 2025,HR professionals,Recruiters,Talent acquisition,HR planning,https://pmap.org.ph/training-events/chrpa-feu/,Technology,,Certification
Job Evaluation and Salary Structure Program,Mandaluyong - 5 Aug 2025,HR managers,Compensation specialists,Salary structuring,Job evaluation,https://pmap.org.ph/training-events/jessp-aug/,Technology,,Workshop
Fraud Detection for Business,Mandaluyong - 5 Aug 2025,Financial managers,Compliance officers,Fraud prevention,Risk management,https://pmap.org.ph/training-events/fdb-2/,Banking & Financial Services,,Workshop
FREE PODCAST: Developing Future Leaders,Online - 6 Aug 2025,HR professionals,Managers,Leadership development,Talent management,https://pmap.org.ph/training-events/free-podcast-developing-future-leaders/,Technology,,Podcast
Developing Effective Coaching and Mentoring in the Workplace,Mandaluyong - 7 Aug 2025,HR professionals,Coaches,Coaching skills,Employee development,https://pmap.org.ph/training-events/decmw-aug/,Technology,,Workshop
Fundamentals of Employee Discipline,Online - 7 Aug 2025,HR managers,Supervisors,Employee discipline,Compliance,https://pmap.org.ph/training-events/fed-aug/,Technology,,Workshop
Certificate in Compensation Management – SBCA,Hybrid - 9 Aug–27 Sep 2025,HR professionals,Compensation specialists,Compensation management,Strategy,https://pmap.org.ph/training-events/sbca-ccm/,Technology,,Certification
Embedding Sustainability in the Workplace,Online - 12 Aug 2025,HR managers,Sustainability officers,Sustainability practices,Workplace integration,https://pmap.org.ph/training-events/ebw/,Technology,,Workshop
Compensation and Benefits Management in the Philippines,Online - 12 Aug 2025,HR managers,Compensation specialists,Benefits management,Compensation strategy,https://pmap.org.ph/training-events/cbmp-aug/,Technology,,Workshop
Auditing HR Processes and Procedures,Mandaluyong - 13 Aug 2025,HR auditors,Compliance officers,HR process auditing,Compliance,https://pmap.org.ph/training-events/ahrpp-aug/,Technology,,Workshop
Strategic Decision Making for Leaders,Online - 14 Aug 2025,Executives,Managers,Strategic planning,Decision making,https://pmap.org.ph/training-events/sdml-aug/,Technology,,Workshop
Certificate in Organization Development – UA&P,Hybrid - 16 Aug–4 Oct 2025,HR professionals,OD specialists,Organization development,Strategy,https://pmap.org.ph/training-events/uap-cod/,Technology,,Certification
Managing Change in the Workplace,Online - 18 Aug 2025,Managers,HR professionals,Change management,Workplace adaptation,https://pmap.org.ph/training-events/mcw-aug/,Technology,,Workshop
The Data Privacy Act of 2012,Mandaluyong - 19 Aug 2025,Compliance officers,IT managers,Data privacy,Compliance,https://pmap.org.ph/training-events/dpa-act-of-2012/,Technology,Government & Public Sector,Workshop
Training Delivery Techniques,Evaluation and ROI,Mandaluyong - 19 Aug 2025,Trainers,HR professionals,Training delivery,ROI evaluation,https://pmap.org.ph/training-events/tdter-aug/,Technology,Exploring Solutions
Essentials of Labor and Employment Laws in the Philippines,Mandaluyong - 26 Aug 2025,HR managers,Legal advisors,Labor law compliance,Employee relations,https://pmap.org.ph/training-events/elelp-aug/,Government & Public Sector,,Workshop
The Engaging Leader Workshop,Mandaluyong - 26 Aug 2025,Managers,Team leaders,Leadership engagement,Team motivation,https://pmap.org.ph/training-events/telw-aug/,Technology,,Workshop
Designing a Variable Pay Program,Online - 26 Aug 2025,HR managers,Compensation specialists,Pay structure design,Performance incentives,https://pmap.org.ph/training-events/dvpp-aug/,Technology,,Workshop
Evaluating Training & Development Programs,Online - 27 Aug 2025,HR professionals,Trainers,Training evaluation,Program improvement,https://pmap.org.ph/training-events/etdp-aug/,Technology,,Workshop
2025 Online Go Up Forum,Online - 28 Aug 2025,Business professionals,HR managers,Networking,Knowledge sharing,https://pmap.org.ph/training-events/2025-online-go-up-forum/,Technology,,Forum
Managing Development and Succession Planning,Online - 28 Aug 2025,HR managers,Executives,Succession planning,Talent management,https://pmap.org.ph/training-events/mdsp-aug/,Technology,,Workshop
HUMAN RESOURCE BUSINESS PARTNERSHIP,Mandaluyong - 2 Sep 2025,HR professionals,Business partners,HR strategy,Business alignment,https://pmap.org.ph/training-events/hrbp-sept/,Technology,,Workshop
Strategic HR: Guideposts for Implementation,Online - 3 Sep 2025,HR managers,Executives,Strategic HR,Implementation,https://pmap.org.ph/training-events/shr/,Technology,,Workshop
Creating Work-Life Balance Policies and Programs,Online - 8 Sep 2025,HR managers,Wellness officers,Work-life balance,Employee wellbeing,https://pmap.org.ph/training-events/cwlbpp-sept/,Technology,,Workshop
Fundamentals of Organization Development,Mandaluyong - 9 Sep 2025,HR professionals,OD specialists,Organization development,Strategy,https://pmap.org.ph/training-events/fod/,Technology,,Workshop
Competency Based Performance Management and Career Planning Workshop,Mandaluyong - 11 Sep 2025,HR managers,Career planners,Performance management,Career development,https://pmap.org.ph/training-events/cbpmcpw-sept/,Technology,,Workshop
Managing Change in the Workplace,Online - 15 Sep 2025,Managers,HR professionals,Change management,Workplace adaptation,https://pmap.org.ph/training-events/mcw-sept/,Technology,,Workshop
Union Relations and Collective Bargaining,Mandaluyong - 16 Sep 2025,HR managers,Labor relations officers,Union relations,Bargaining skills,https://pmap.org.ph/training-events/urcb/,Government & Public Sector,,Workshop
Designing the Pay Structure,Online - 17 Sep 2025,HR managers,Compensation specialists,Pay structure design,Compensation strategy,https://pmap.org.ph/training-events/dps-sept/,Technology,,Workshop
Emotional Intelligence and Employee Well-being,Online - 18 Sep 2025,HR managers,Team leaders,Emotional intelligence,Wellbeing,https://pmap.org.ph/training-events/eiew/,Technology,,Workshop
Competency Based Talent Management,Mandaluyong - 23 Sep 2025,HR managers,Talent managers,Talent management,Competency development,https://pmap.org.ph/training-events/cbtm-sept/,Technology,,Workshop
Ethical Decision Making for Leaders,Online - 24 Sep 2025,Executives,Managers,Ethical decision making,Leadership,https://pmap.org.ph/training-events/edml/,Technology,,Workshop
Designing and Implementing Performance Management Program,Mandaluyong - 25 Sep 2025,HR managers,Performance specialists,Performance management,Program design,https://pmap.org.ph/training-events/dipmp-2/,Technology,,Workshop
Leadership Development for Supervisors and Managers in the New Normal,Online - 29 Sep 2025,Supervisors,Managers,Leadership skills,Adaptation,https://pmap.org.ph/training-events/ldsmn-sept/,Technology,,Workshop
OD Theories,Tools and Practices,Mandaluyong - 30 Sep–1 Oct 2025,HR professionals,OD specialists,Organization development,Strategy,https://pmap.org.ph/training-events/odttp-sept/,Technology,Exploring Solutions
Competency Development,Profiling,and Assessment,Online - 2 Oct 2025,HR managers,Talent managers,Competency development,Assessment,https://pmap.org.ph/training-events/cdpa-oct-2/,Technology
Certificate in Human Resource Development – FEU,Hybrid - 4 Oct–29 Nov 2025,HR professionals,Development specialists,HR development,Strategy,https://pmap.org.ph/training-events/chrd-feu/,Technology,,Certification
Essentials of Human Resource Management,Mandaluyong - 7 Oct 2025,HR managers,Professionals,HR management,Best practices,https://pmap.org.ph/training-events/ehrm-oct/,Technology,,Workshop
Certificate in Labor Relations – SBCA,Hybrid - 11 Oct–6 Dec 2025,HR professionals,Labor specialists,Labor relations,Compliance,https://pmap.org.ph/training-events/sbca-clr/,Government & Public Sector,,Certification
Performance Management and Appraisal Training,Online - 13 Oct 2025,HR managers,Appraisers,Performance appraisal,Management,https://pmap.org.ph/training-events/pmat-oct/,Technology,,Workshop
Drivers of Employee Engagement,Online - 15 Oct 2025,HR managers,Team leaders,Employee engagement,Retention,https://pmap.org.ph/training-events/dee-oct/,Technology,,Workshop
Certificate in Compensation Management – UA&P,Hybrid - 18 Oct–13 Dec 2025,HR professionals,Compensation specialists,Compensation management,Strategy,https://pmap.org.ph/training-events/uap-ccm/,Technology,,Certification
62nd PMAP Annual Conference,Cebu City - 22–24 Oct 2025,HR professionals,Executives,Networking,HR trends,https://pmap.org.ph/training-events/62nd-pmap-annual-conference/,Technology,,Conference
Strategic Decision Making for Leaders,Online - 27 Oct 2025,Executives,Managers,Strategic planning,Decision making,https://pmap.org.ph/training-events/sdml-oct/,Technology,,Workshop
Discipline and Grievance Management,Online - 28 Oct 2025,HR managers,Supervisors,Discipline management,Grievance handling,https://pmap.org.ph/training-events/dgm-oct/,Technology,,Workshop
HR Analytics and Data-Driven Decision Making,Mandaluyong - 4 Nov 2025,HR managers,Data analysts,Data-driven HR,Decision making,https://pmap.org.ph/training-events/hrddm-nov/,Technology,,Workshop
Employee Engagement and Retention,Online - 5 Nov 2025,HR managers,Team leaders,Employee retention,Engagement strategies,https://pmap.org.ph/training-events/eer-nov/,Technology,,Workshop
Facilitating Structured Learning Exercises,Online - 6 Nov 2025,Trainers,HR professionals,Learning facilitation,Training design,https://pmap.org.ph/training-events/fsle-nov/,Technology,,Workshop
Designing and Implementing Performance Management Program,Mandaluyong - 11 Nov 2025,HR managers,Performance specialists,Performance management,Program design,https://pmap.org.ph/training-events/dipmp-nov/,Technology,,Workshop
Results-Oriented Training Design,Online - 12 Nov 2025,Trainers,HR professionals,Training design,Outcome focus,https://pmap.org.ph/training-events/rotd-nov/,Technology,,Workshop
Fundamentals of Employee Discipline,Online - 13 Nov 2025,HR managers,Supervisors,Employee discipline,Compliance,https://pmap.org.ph/training-events/fed-nov/,Technology,,Workshop
Training Delivery Techniques,Evaluation and ROI,Mandaluyong - 18 Nov 2025,Trainers,HR professionals,Training delivery,ROI evaluation,https://pmap.org.ph/training-events/tdter-nov/,Technology,Exploring Solutions
Evaluating Training & Development Programs,Online - 18 Nov 2025,HR professionals,Trainers,Training evaluation,Program improvement,https://pmap.org.ph/training-events/etdp-nov/,Technology,,Workshop
Problem Solving and Decision Making,Mandaluyong - 20 Nov 2025,Managers,Operations leads,Problem solving,Decision making,https://pmap.org.ph/training-events/psdm-nov/,Technology,,Workshop
Fundamentals of Learning & Development,Online - 24 Nov 2025,HR professionals,Trainers,Learning development,Training strategy,https://pmap.org.ph/training-events/fld-nov/,Technology,,Workshop
Training the Trainers,Mandaluyong - 25 Nov 2025,Trainers,HR professionals,Training delivery,Skill development,https://pmap.org.ph/training-events/trainer-the-trainers-nov/,Technology,,Workshop
Effective Risk Management Workshop,Mandaluyong - 27 Nov 2025,Risk managers,Business executives,Risk mitigation,Strategic planning,https://pmap.org.ph/training-events/ermw-nov/,Technology,,Workshop
Echelon Philippines 2025,Manila - 2–3 Sep 2025,Startup founders,Investors,Entrepreneurs,Networking,Funding opportunities,Knowledge sharing,,Technology
PhNOG 2025+ Week (Philippine Network Operators Group),Manila - 7–11 Jul 2025,Network engineers,Architects,Operators,Technical discussions,Networking,Infrastructure development,,Technology
The MarTech Summit Manila 2025,Makati - 2 Jul 2025,Marketing professionals,Data specialists,Data-driven marketing,AI adoption,Customer engagement,,Technology,Retail & E-commerce
Cybersphere Philippines 2025,Taguig - 4–5 Jul 2025,Cybersecurity experts,ICT professionals,Decision-makers,Cybersecurity solutions,Networking,ICT infrastructure development,,Technology
Startup Funding in the Philippines & SEA: The Journey from Grants to IPO,Online - 2 Jul 2025,Startup founders,Entrepreneurs,Funding strategy,Grants to IPO guidance,https://fi.co/e/361718,Technology,,Workshop
Founders Running Club :: Manila,Quezon City - Every Saturday,6:00 AM,Founders,Investors,Tech professionals,Creatives,Networking,Community building,Exploring Solutions
BUILD Startup Festival 2026,Taguig - Mar 2026,Founders,VCs,Angel investors,Community builders,Networking,Innovation discussions,Community building,Exploring Solutions
Entrepinay Conference 2026,Pasay City - Apr 2026,Female founders,Entrepreneurs,Professionals,Creatives,Empowerment,Business insights,Networking,Exploring Solutions
Crypto Vision Conference 2026 (CVCPH2026),Makati - Apr 2026,Investors,Traders,Crypto enthusiasts,Founders,Blockchain exploration,Web3 innovation,Networking,Exploring Solutions
How Non-Techies Can Launch Successful Tech Startups,Online - Recurring Monthly,Aspiring founders,Non-technical entrepreneurs,MVP development,Team building,Go-to-market strategies,https://www.meetup.com/manila-startup-idea-to-ipo/,Technology,Exploring Solutions
Saturday AI Hangout with Zack Lim,Online - Recurring Weekly,Entrepreneurs,AI enthusiasts,Tech professionals,AI trends,Opportunity exploration,https://www.meetup.com/internet-entrepreneurs-network-philippines/,Technology,Exploring Solutions
ReactJS Philippines - Regular Meetups,Metro Manila - Recurring,React developers,Technical founders,Engineers,Technical discussions,Networking,Skill development,https://www.meetup.com/reactjs-philippines/,Technology
PyCon APAC 2025,Quezon City - 1–3 Mar 2025,Python developers,Data scientists,Technical founders,Python advancements,Networking,Skill development,https://pycon-apac.python.ph/,Technology
PythonPH - Regular Meetups & Trainings,Metro Manila - Recurring,Python developers,Data scientists,Technical founders,Python skill development,Networking,https://python.ph/,Technology,Exploring Solutions
GDG Cloud Manila x AI Pilipinas International Women's Day Event 2025,Taguig - 20 Mar 2025,Developers,AI practitioners,Tech professionals,Women in tech,Cloud and AI discussions,Networking,https://gdg.community.dev/events/details/google-gdg-cloud-manila-presents-gdg-cloud-manila-x-ai-pilipinas-international-womens-day-event-2025/,Technology
AI Pilipinas - Regular Meetups,Metro Manila - Recurring,AI researchers,Data scientists,ML engineers,AI advancements,Networking,https://www.facebook.com/AIPilipinas/,Technology,Exploring Solutions
Philippine Startup Week 2025 (PHSW25),Taguig - Nov 2025,Founders,Investors,Government officials,Developers,Networking,Innovation,Ecosystem growth,Exploring Solutions
Graphika Manila 2025,Pasay City - 1–2 Mar 2025,Designers,Animators,Creative directors,Founders,Creative inspiration,Networking,https://www.graphikamanila.com/,Technology
FoFPH x PWDO x UXPH: Figma Slides Party,Taguig - 21 Mar 2025,UI/UX designers,Web designers,Developers,Design discussions,Networking,https://www.uxph.org/events/fofph-x-pwdo-x-uxph-figma-slides-party,Technology,Exploring Solutions
UXPH Conference 2025,Metro Manila - Nov 2025,UX designers,Product managers,Technical founders,UX design,Product development,Networking,https://www.uxph.org/,Technology
Modern AI-Driven Leadership Models @ Manila,Philippines,Manila - 30 Jun 2025,Founders,Executives,Managers,AI-driven leadership,Strategic insights,https://www.eventbrite.com/e/modern-ai-driven-leadership-models-manila-philippines-tickets-888979316987,Technology
[Invite-Only] Tarro After Hours: A Private Networking Mixer,Bonifacio High Street - 10 Jul 2025,Founders,Investors,Professionals,Networking,Relationship building,https://www.eventbrite.com/e/invite-only-tarro-after-hours-a-private-networking-mixer-tickets-927924789537,Technology,Exploring Solutions
17th Philippine SME Business Expo 2025,Manila - 28 Nov 2025,SME owners,Entrepreneurs,Founders,Networking,Business growth,https://www.eventbrite.com/e/17th-philippine-sme-business-expo-2025-tickets-868972156847,Technology,Exploring Solutions
LogiSYM Philippines 2025,Manila - 17 Sep 2025,Logistics professionals,E-commerce founders,Logistics innovation,Supply chain optimization,https://www.eventbrite.com/e/logisym-philippines-2025-tickets-862879590897,Retail & E-commerce,Technology,Conference
GLOBAL INVESTMENT: DAY SESSION,Manila - 27 Jun 2025,Investors,Founders,Entrepreneurs,Investment opportunities,Networking,https://www.eventbrite.com/e/global-investment-day-session-tickets-923833442857,Technology,Exploring Solutions
GLOBAL INVESTMENT: EVENING SESSION,Manila - 27 Jun 2025,Investors,Founders,Entrepreneurs,Investment opportunities,Networking,https://www.eventbrite.com/e/global-investment-evening-session-tickets-923835699607,Technology,Exploring Solutions
Fundraising Party - Manila,Manila - 5 Jul 2025,Founders,Investors,Entrepreneurs,Fundraising,Networking,https://www.eventbrite.com/e/fundraising-party-manila-tickets-908584855597,Technology,Exploring Solutions
Work in Europe / Sweden - Jobs,Talent Visa and EU Blue Card - MNL,Quezon City - Jul 2025,Founders,Professionals,HR managers,International job opportunities,Talent acquisition,https://www.eventbrite.com/e/work-in-europe-sweden-jobs-talent-visa-and-eu-blue-card-mnl-tickets-923838507987,Technology
