event_name,date_location,attendees,goals,source_url,primary_industry,secondary_industry,company_stages,event_type,featured
AI Pilipinas - Regular Meetups,"Metro Manila - Recurring","AI researchers, Data scientists, ML engineers","AI advancements, Networking","https://www.facebook.com/AIPilipinas/",Technology,,All Stages,Networking,false
Philippine Startup Week 2025 (PHSW25),"Taguig - Nov 2025","Founders, Investors, Government officials, Developers","Networking, Innovation, Ecosystem growth","https://www.phstartupweek.com/",Technology,,All Stages,Conference,true
Graphika Manila 2025,"Pasay City - 1–2 Mar 2025","Designers, Animators, Creative directors, Founders","Creative inspiration, Networking","https://www.graphikamanila.com/",Technology,,All Stages,Conference,true
FoFPH x PWDO x UXPH: Figma Slides Party,"Taguig - 21 Mar 2025","UI/UX designers, Web designers, Developers","Design discussions, Networking","https://www.uxph.org/events/fofph-x-pwdo-x-uxph-figma-slides-party",Technology,,All Stages,Networking,false
UXPH Conference 2025,"Metro Manila - Nov 2025","UX designers, Product managers, Technical founders","UX design, Product development, Networking","https://www.uxph.org/",Technology,,All Stages,Conference,true
Modern AI-Driven Leadership Models @ Manila, Philippines,"Manila - 30 Jun 2025","Founders, Executives, Managers","AI-driven leadership, Strategic insights","https://www.eventbrite.com/e/modern-ai-driven-leadership-models-manila-philippines-tickets-888979316987",Technology,,All Stages,Workshop,false
[Invite-Only] Tarro After Hours: A Private Networking Mixer,"Bonifacio High Street - 10 Jul 2025","Founders, Investors, Professionals","Networking, Relationship building","https://www.eventbrite.com/e/invite-only-tarro-after-hours-a-private-networking-mixer-tickets-927924789537",Technology,,All Stages,Networking,false
17th Philippine SME Business Expo 2025,"Manila - 28 Nov 2025","SME owners, Entrepreneurs, Founders","Networking, Business growth","https://www.eventbrite.com/e/17th-philippine-sme-business-expo-2025-tickets-868972156847",Technology,,SMEs,Expo,true
LogiSYM Philippines 2025,"Manila - 17 Sep 2025","Logistics professionals, E-commerce founders","Logistics innovation, Supply chain optimization","https://www.eventbrite.com/e/logisym-philippines-2025-tickets-862879590897",Retail & E-commerce,Technology,SMEs|Series A,Conference,true
GLOBAL INVESTMENT: DAY SESSION,"Manila - 27 Jun 2025","Investors, Founders, Entrepreneurs","Investment opportunities, Networking","https://www.eventbrite.com/e/global-investment-day-session-tickets-923833442857",Technology,,All Stages,Networking,false
GLOBAL INVESTMENT: EVENING SESSION,"Manila - 27 Jun 2025","Investors, Founders, Entrepreneurs","Investment opportunities, Networking","https://www.eventbrite.com/e/global-investment-evening-session-tickets-923835699607",Technology,,All Stages,Networking,false
Fundraising Party - Manila,"Manila - 5 Jul 2025","Founders, Investors, Entrepreneurs","Fundraising, Networking","https://www.eventbrite.com/e/fundraising-party-manila-tickets-908584855597",Technology,,All Stages,Networking,false
Work in Europe / Sweden - Jobs, Talent Visa and EU Blue Card - MNL,"Quezon City - Jul 2025","Founders, Professionals, HR managers","International job opportunities, Talent acquisition","https://www.eventbrite.com/e/work-in-europe-sweden-jobs-talent-visa-and-eu-blue-card-mnl-tickets-923838507987",Technology,,All Stages,Workshop,false
National C.E.P.S. Certified Event Planning Specialist Masterclass Summit,"Manila - 25 Jul 2025","Event planners, Founders, Professionals","Event planning skills, Networking","https://www.eventbrite.com/e/national-ceps-certified-event-planning-specialist-masterclass-summit-tickets-897394334337",Technology,,All Stages,Workshop,false
